제목,댓글,내용
결국 알트는 0원이다,,ㅇㅇ  - dc official App
쿼크 내리지마!! ㅇㅇ!,,진짜 뿅감!ㅇㅇ ㄹㅇ- dc official App
코인에 인생을 올인했으면,,쌉개추하나씩
폰지사기.  비트코인.,,ㅇㅇ  - dc official App
개 씨발 좆같은코인,,
쿼크! 다시가!,,쉿! 비밀~- dc official App
ㅡㅡㅡ고      생        했      다 ㅡㅡㅡㅡㅡ,,
코인은 사기다 .  알트는  결국 0원화다.,,ㅇㅇ  - dc official App
산도깨비 저 친구가 몸만 안 팔았어도 참 좋은 친구였을텐데..,,그놈의 10만원이 뭐라고..  참 미련하다 저 친구도..
그동안 버티느라 고생했다 이제 찐반이다,,그동안 연일 하락세에 밤낮업이 차트 분석한 결과 이제 비트코인 조정 끝마티고 다시 안정기에 접어 들고 반등한다는 결론에 도달했다 그동안 버티느라 수고했고 아직도 지금 타이밍에 매수해야 할지 망설이고 있다면 풀매수 때려라 다시 오른다  - dc official App
지금 코인사라 4월에 불장 온댜,,세력들 한국인들 과세해서 다 털고간댜
무비블록 계원여고 비이이이임,,2021
불장이다 ㄱㄱㄱㄱ,,는 지랄 또 낚여서 개같이 물릴 인간들 수준 ㅋㅋㅋ
lg 디스플레이 회사 질문,,아는분이 2010년 지방4년제 환경공학과 졸업후2026년 현재까지 다니는 중이고 책임 직급인데현재 순자산 얼마정도 될까?- dc official App
경주마,,엑 시
또다시 반등하거든 리플만은 사지마라,,다 올라가도 잘 버티는데 이새끼만 질질 샌다. 그냥 알트코인 아무거나 잡아서 돈 넣고 자도 리플보단 잘버팀 ㅇㅇ
코인은 사기다 !!,,쓰레기 같은  폰지 사기  - dc official App
진짜 잔인한  사기  --    비트코인,,영혼까지  털어 버리는 폰지 사기  - dc official App
BTC  -2%에  일트 -15%.   BTC  +1%에는    알트,,접어라  - dc official App
"뷰질리카,  가스, 바운스만 보면 됨",,ㅇㅇ
코인은  쓰레기다,,ㅇㅇ  - dc official App
내년에 과세한다,,ㅇㅇ
잡코인에 물리면 이렇게 된다니깐 ㅋㅋ,,지케아 100에 물렸는데 왜 다른애들은 불장이냐고  - dc official App
비트  알트  내린다고?,,느그들이 전부 숏잡고  딸딸이를 치니까거래소  세끼들이   롱으로 뽑아올려버리잔아롱으로 니들  다  청산시킬 라고하이구 답답한  친구들아롱으로  다 청산 시키고 다시   가던길가겄지 비트  8천을 향해서하방으로  고고
포켓몬 탑승,,- dc official App
뽀찌 랜덤으로 준댄다 ㄱㄱㄱ,,
대불장 시작된듯 ㅇㅅㅇ,,ㅇㅅㅇ
빠질땐,,빠질땐 시바 훅훅 잘도 빠지더니 오를땐 찔끔찔끔 왜이렇게 안오르냐 낼부터 또빠질지도 모르는데
ㅋㅋ빗섬좀봐라 봇으로 그냥 개쓰랙짓만하네,,ㅇ
거래소 파산 뉴스 나와야 ~~~,,불장이 시작인거야
코인 가격이 억대인 이유 (추측),,"무한발행 가능한데 가격이 너무 싸면 많이 발행해서 팔아야하고, 억대면 몇개 발행 안 해도 지갑 두둑해져서- dc official App"
앱스타인이 진짜면,,너네 투자한 돈 가지고 쟤네들 배부르게 채워준 거 아니냐... 돈 떨어지면 그냥 발행해서 팔면 되니까- dc official App
코인원 코인모으기 이벤트,1,코인원 이새끼들 신규 모으기 이벤트로 30000원 주는 거 리워드 지급일 3일이였는데 계속 미뤄서 이제 6일이라네ㅌㅋㅋㅋㅋㅋ 코인 하락장이니깐 어떻게든 더 땡겨볼라고 미루는건가? 이거 뭐 신고안되냐
페도코인 입갤,,앱스타인 묻음
왜 새벽만 되면 팔아제끼는거지...,,미장 추세보고 국장 준비하나...
트럼프 씹새기 덕에 오늘 60K간다,,전쟁이야
시발 바닥찍고 막오르는거 같지?,,ㅋㅋㅋ
코인 왜캐 가격 내렸음 무슨일있어?,1,누가 코인판망했다고 해서 봤더니 엄청 내렸네
삼형제냐???,,파형도 같이 가냐...
비트겟 50프로 수수료 어케함?,2,계정 만들 때 추천인 하고 해야 됨? 계정 만들고 나서는 50퍼 수수료 못 받음?
리플 1만원 vs 이더 1500만원 어느게 더 쉽냐,,어느게 더 빡셀까
32살 개백수다 비트코인  풀대출받아서 샀는데 한강가야될거같다,4,모아놓은돈 + 대출 인데 ㅈ됐다 돈이 녹는다 씨ㅂ- dc official App
뭔의미 질리카 9끝이지 ㅋㅋ 20배 숏,,ㅋㅋㅋㅋㅌㅌ
개불장 이나 빤쓰벗고 쑤와리질러~~~,,개불장 이네
이더etf 2배 청산위험 줄어서 좋긴한데,,시바 앞으로 난 평단 이더 고점회복해도 손해라는데 ㅅㅂ
오늘 오전에 비트 이더 솔라나에 전재산 몰빵한게 신의 한수,,"8800만원




비트 2000

이더 6300

솔라나 500




까지 들어갔었고 지금은

비트 2000

이더 3000

솔라나 500







어제 기준으로

비트-6% 1200만원

솔라나 -6% 500만원

이더리움 -10% 3000만원 정도 들어갔었고 더 이더 기준으로 10% 정도 더 밀리면 거기에서 승부보고 스테이킹 한 다음 존버메타로 가려고 했는데










오늘 오전에 바닥 나온것 같아서 전부 몰빵하고 방금전에 이더는 본전와서 물탄만큼 덜어냈음




솔직히 몰빵하긴 했지만 걍 기술적 반등이라고 봐서 5% 정도만 더 오르면 더 덜어내고 밀리면 다시 담는다는 마인드로 간다."
자자 비트가 아무리 올라도 엑시 스토리 1퍼 끜 ㅋㅋ 20배 숏,,ㅇㄹㄹㅎ
질리카,,타라
ㅈㄹ ㅋㅋㅋ 스토리20배숏,,ㅋㅋㅋㅋ
나도 코인 속보 보면서 하고싶은데,,코인 호재 속보 올려주는곳 알려줄사람
코인은 이제 실제 수익나는 구조의 코인인가가 중요하다,,엑셀라일드베이시스 YB 2개 주목해라진지하게  20배 간다고 봄
젖제로투 비제이 누구임,,이름좀 제발  - dc official App
10퍼 올랐다는데 아직도 한참 파란색이면 개추 ㅋㅋ,,일단 개씨발 나부터 ㅋㅋ
상승장 기념 한곡 듣습니다...,,https://www.youtube.com/watch?v=Rl22BJ5TxbM&list=RDRl22BJ5TxbM&start_radio=1
바운드,,지리넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
바운드리스 내가 파니깐 쏘는군,,이런 씨발- dc official App
지금 이더 들어가도 돼?,1,느낌 어떤대- dc official App
진짜 나어카냐?,,잠못자는중  - dc official App
코인 쉽다 비트가 100퍼올라도 해쳐먹고 안오르는애 숏 엑시스토리,,ㅋㅋㅋㅋㅋㅋ
ㅋㅋ 비트 3퍼내림 ㅋ -20퍼 3퍼올랐는데 파란불 ㅋㅋㅋㅋ,,ㅋㅎㅍㅍㅍㅍㅎ
미안해....,,"어제하고 오늘하고 아무것도 먹지를 못했는데 배가 너무 고파서.... 연락처 신분증 다 주고 8,000원 정도만 빌려줄수 없을까.. 사나흘 안으로 꼭 갚을게...  - dc official App"
비트 쫌 내린다고 개빨레질 비트 올라도 안오름 이러니 안하지 ㅋ,,ㅋㅋㅋㅋㅋ
푸근해엑시숏 ㅋㅋ 잔다 비트 0.1퍼오름0.1퍼오르고 0.1퍼 내림1퍼림,,ㅋㅋㅋㅋㅋㅋ
아. 잠자도되겠다 이더,,Etf 2배롱4100다시들가서 청산위험떠서 500환전도햇는데 잠자야지
오늘은 이럴줄 알았지 ㅋㅋ 다설거지 ㅋㅋㅋㅋ,,ㄹㄹㄹㄹㄹ
ㅋㅋ 필승 ㅋㅋ 엑시 숏 ㅋㅋ 비트 100퍼 올라도 엑시는 이제안돼,,ㅋㅋㅋ
희망고문도 몇달째인지,,비트코인 기축통화화 언제되냐..
ㅡㅡㅡ대ㅡㅡㅡ불ㅡㅡㅡ장ㅡㅡㅡㅡㅡ,,ㄹㅇ
직접 만든 국장용 신호기를 트레이딩뷰에 접목해봤습니다.,,15분봉 기준으로 만든 롱 숏 신호기에 조금전 5거래일만에 처음으로 신호가 떴네요. 참고로 77841입니다.
차트 사망ㄷㄷ,,ㄷㄷ  - dc official App
로아코어 500%넘겠다,,ㅋ
돈없으면 죽는것도 힘들구나....,3,가진것도없고 친구도없고 애인도없고 가족도 다 떠낫다..하느님에게도 항상 기도하고 잘 살게 해달라고 삶의 이유를.물어봤지만더이상 삶의 미련이 없네...연탄이라도 사게 후원좀 부탁드립니다...132121693300 신협
로아코어 1000%가보자,,ㅋ
지케이싱크가 9배올랐는데; 질리카 300프로는 가지않을까;,,ㅇㅅㅇ
90% 페이백 받아가라,,테더맥스 90% 페이백 이벤트 하고 있는데이번이 마지막 이벤트라 더이상 안한대 ㅇㅇ지금이 기회니까 놓치지 말고 빨리 받으셈선착순한정으로 금방끝남
또 ㅈㄹ이네,,올리나싶으면빼고 올리나싶으면빼고
2.2 암호화폐 비공개 회의 이후 리플 20배가는 이유,,xrp 빌드업 터지는 시기 나옴  - dc official App
폭락으로 마이너스 났으면 복구해야죠...,,-
뭔의미 ㅋㅋㅋ 엑시75배 숏인데 ㅎㅎ,,ㅋㅋㅋㅋ
나스닥은 저번주에 처맞아서 그런가,,무난하게 시작하네비트 흐를대로 흘러서 개쫄럈는데
오빠들 리플,2,언제 오천원 가요?  - dc official App
푸근하닼ㅋ 비트 100퍼올라도 엑시 스토리 숏 잔다 ㄹㄹ,,ㅋㅋㅋㅋㅋㅋ
소폰 설거지 토나오네;;,,어제 오늘 설거지 쓰레기네
"얘들아, 이더 현물만 할거면 수수료 어디가 제일 나아?",,국내는 빗썸이수수료가 0.04로 제일 저렴한것같은데 외국 거래소는 현물 수수료가 어디가 제일나아?
ㅋㅋ 비트 100퍼 올라도 ㅋㅋㅋㅋ 엑시 숏 ㅋㅋㅋ,,ㄹㄹㄹㄹㄹ
빗섬 다 자전에 봇사기 시발세기들 운영진짜 좆같이한다,,ㅇ
아이부는 카카오의 선택과 집중 푸시를 받아옴,,"그럼에도 자꾸 좃소의 기적 타령 하는 중

팩트는 대한민국 역대 걸그룹들 중

최대의 비용으로 푸시받은 걸그룹 2위

(1위는 늊으로 짐작되는 상태)










이 글을 작성하고 올리도록 등 떠밀어주신,

ㅋㅋㅇ엔터 불법 바이럴 퇴치를 위해 힘 써주시는

뿌팍스님

티롱씨님

감사드려요^^"
낮에 정확히 알려줬었다 74600 찐반,,https://gall.dcinside.com/board/view/?id=bitcoins_new1&no=9200259 정확히 74600불에 글써줬다 찐반이라구    - 비트코인 갤러리ㅉㅉ 알려줘도 못해?gall.dcinside.com알려줘도 못해? 자주 안온다 수고링~
씨커,,수상하다
어차피 질리카는 얼마못가속지마라 ㅋㅋ,,ㅋ
포켓 쏠꺼같은데,1,ㅇ
아침에 일어나면 빨간불 예정,,ㅋㅋㅋㅋ편히자라 버거형들이 살려준다
오늘은 이럴줄 알았지 ㅋㅋ 다설거지 ㅋㅋㅋㅋ,,ㄹㄹㄹㄹㄹ
오늘 30만원으로 120만들었네 ㅋㅋㅋㅋ,1,이더 롱 50배박아놨는데 미친듯이오르네
고추바사삭 레전드,,
빗섬은 개미들 거래안하니까 ㅋㅋ,,"걍




자전거래




돌리기로




맘먹었노




십병신들




ㅋ"
"넷플릭스 월 2,800원 내고 쓰고있음",,
의미없음 ㅋㅋㅋ 엑시만 숏,,ㅋㅋㅋㅋㅋㅋㅋㅋ
무브먼트같은,,이런 악질 코인은 처음본다 1년동안 보고있으면 사람 정신병 걸리게 만드는거같다 온몸에 힘이 쫙빠지네..
미친세기들이 봇으로 다막아놈 빗섬 개미친거래소,,ㅇ
진짜 개족같네 빗섬 봇사기,,ㅇ
와 빗섬 개시발거래소다 진짜 봇사기,,ㅇ
이리저리~올리는척 설거지만하지,,절대안올리는보소ㅋㅋㅋㅋ2
질리카 개쏜다ㅠ씨발 ㅋㅋㅋㅋ,,
바운스 9끝 ㅡ 질리카 9끝 개싑 ㅋㅋㅋ,,ㅋㅋㅋㅋ
포켓몬은 이제 가망 없나...?,,23층에 사람 있어요..
살려줘 씨발새끼야,,ㅡㅡ
질리카 20원간다,,ㄹㅇ
몇달전에 비트코인 넣어두고 안봤는데 지금 왜 떨어지는 거임?,,진짜 몰루
뭔의미 질리카 9끝이지 ㅋㅋ 20배 숏,,ㅋㅋㅋㅋㅌㅌ
질리카 9원 탑슨 ㅋㅋ,,바로물림
안타면 존나가네,,ㅋㅋ
지케이는 안쏘는거이제?,,44원에 300만원만 태워봤는데올라갈기미가안보이노 ㅠ
질리카 ㅈㄴ잘가네,,
질리카 내일 오후6시 지갑닫힌다 미리타라 ㄹㅇ,,ㄹㅇ
롱인데 쫄린다~~버거형님 제발ㅠㅠ,,오늘은 갈자리자나요~~그냥 좋게 갑시다~~형님들~~제발ㅠㅠ
또 지랄이노,,아이고
질리카 편단 200원입니다 저건 갭미다 절대 사지마세요,,ㅉㅈㅈㅈ
내려 시발아 어차피 살돈 없어이제 ㅅㅂ년아,,꺼져- dc official App
리플을 못샀으면 iso 20022 암거나 모아가라,,스텔라 알고랜드 헤데라 아이오타상폐없이 살아남는 코인들이다.은행하고 상부상조 조인되는 코인들이다.
어어 밀지마라,,
너무 싸게 팔았노 ㅡㅡ,,ㅡㅡ
무브멈트 장난질은 4번째 하네 10퍼~ 13퍼 왓다갓다하는거 ㅋㅋ,,지겹다어우 역해
오늘밤 새벽에또,,쳐 꼴아박을까봐 조마조마다 ㅅㅂ 빠질때는 10프로씩 빠지고 오를때는 찔끔찔끔 올랏다 내렸다 피말리네
왜 유독 질리카 십스캠 무빙치는거만 얄밉지?,1,ㅇㅇ
질리카가 올라봐야 20% 30%지라고 난 예상함,,노잼
화교분탕들의 야념작전질 단적인 사례,,"이 글을 작성하고 올리도록 등 떠밀어주신,

ㅋㅋㅇ엔터 불법 바이럴 퇴치를 위해 힘 써주시는

뿌팍스님

티롱씨님 

감사드려요^^"
질리카 그래도 20퍼는올렸잖아 한잔해,,한잔해
질리카 뭔가아쉽다 지케이는 900%갓는데,,ㄷㄷ
엡스타인 파일인가 보니까 코인자체가 돈빨려고만든듯,,그새끼가 처음부터 관여해서 즈그들끼리 돈빨아먹을라고 만든것같던데 걍 처음부터 속은거였나
오늘 장은 뭔가 아쉽누,,ㅅㅍ
비트가 1.15억을 못넘는 이유,,응 올릴생각이 1도없고 낚시질하다가 12시에 벽력일섬 하려고 기모으고 있지 세력이 올라탈시간을 주겠니? ㅋㅋㅋㅋㅋㅋㅋㅋ 이걸 모르누 ㅋㅋㅋㅋㅋㅋㅋㅋ
질리카 잘먹고 갑니다,1,20장 겟
그가 샀습니다,,ㅋㅋ
ㅋㅋㅋ오늘장은끝났네,,ㅋㅋㅋㅋㅄ
라면하나만 구제되시는 비트큰손형,,T9z7qXVkaYu9jva3Ern5xVSarnh6A2ZJ5P 테더트론 K이뱅크 100 141470165 조금만  - dc official App
질리카 걍 전형적인 개미 털어먹는 차트,,ㅅㄱ - dc official App
이리저리~올리는척 설거지만하지,,절대안올리는보소ㅋㅋㅋㅋ2
질리카 입출금 막고,,한반에 60프로 이상 올려야 크게 갈텐데;;  저리 올리면 개인들 다 태우고 바로 내려오것네;;  내일도 가야되서 저러나;;/
질리카 무빙 왜이렇게 조랄 맞냐?,,ㅇㅋㅇ
질리카 평단 121원인데,,구조대 언제옴?
이런 장은 안먹고~안하는게 최고닼ㅋㅋㅋ,,ㅋㅋ9시에하는게최고지;
무브 몇번을 오르락 내리락 하노 안탄다 ㅅㅂ 더럽네,,무빙
무브 몇번을 오르락 내리락 하노 안탄다 ㅅㅂ 더럽네,,무빙
매수하면 안되겠네 ㅋㅋㅋ,,봇존나돌아가노
리버 개미쳫네,,신고점 찍으러가나
이거 반등장 인가?? 그럼 뭐다 ?? ai,,"매일 몇백개씩 생성 되는 코인들...




어떻게 보면 주식 보다 더하네요 




그런데 옛날에는 커플링 코인 같은 섹터 코인 등등




엮여서 가는 경우가 많았는데;; 확실히 이제 




실제로 쓰인다거나 재단이 일을 잘한다거나 유망한 섹터거나




이러지 않은이상 이제 안오르는거 같네요




이럴수록 옥석 가리기로 잘 골라야 됩니다




제가 볼땐 ai섹터 이면서 재단이 일도 잘하고 실제로 쓰이는 코인 같은거 ㅇㅇ




이런거 교집합에 들어가는게 몇개 없는데 




스토리프로토콜 버츄얼 당장 생각 나는게 이거 두개 코인 이네요"
ㅋㅋㅋㅋ질리카 하는짓이 딱 엑시기사네,,ㅋㅋㅋㅋ23
회복장이네 ㅋㅋㅋㅋㅋㅋㅋㅋ,,숏 잘가고 ㅋㅋㅋㅋㅋㅋ
참 비트가 오르는데도 아직 포켓이 1위인 걸레 같은장,,ㅋㅋㅋㅋ
인정하기 싫지만 지금 대장코인은 카이트다.,,저놈저거 하락장에 오히려 따블 찍음
ㅋㅋ돌아가면서 개십설거지,,ㅋㅋㅋㅋㅂㅂ2
질리카 -20프로,,살자마려운  놈들 있을거 같다
질리카 ~존나악질ㅋㅋ,,ㅋㅋㅋ기사가십새기네
잘봐라 ㅋㅋ 새벽에 내려꽂는다 ㅋㅋㅋㅋㅋ난 말했다ㅋㅋ,,100배도 거저먹을수 있대이 ㅋㅋ
거래소 파산 보단  폐쇄 뉴스 나오길요..,,..  - dc official App
질리카 산 옆집형 뒷산에서,,숨쉰채 발견9원에 탈출
이래서 익절하면 절대~하면안된다니까,,개씹설거지하는거봐라ㅋㅋㅋㅋㅋ
xrp 화성 가즈아,,ㆍ  - dc official App
거래소 파산 뉴스 나와야 ~~~,,불장이 시작인거야
알트불장 맞는데 아니라는애들은 메이져쳐물려서 정신승리중ㅋㅋㅋ,,긁? 이건 지니가는개가 봐도 알트불장임
질리카 300원 가는이유,,- dc official App
질리카 못타겠다..,,저걸 어케 탐 ㅠ- dc official App
가만보면 쿼크체인이 젤불쌍한듯..,,ㄹㅇ
질리카쐈으니 앵커 쳐사라고 말했다 분명,,눈치없냐?
바이낸스 평생 수수료 20% 할인 추천인 코드,,ㄷㄱ
질장군 돌아왔구나,,200원간다 질장군 함쏘면 뒤도안보고쏜다
병신들아 질리카먹었으면 앵커사,,어휴 병신씹새들
질리카 9 초반에 내리고ᆢ,,내일 다시 기회보는건 어떤가요??
질리카 디즈니 협업 호재 ㅅㅅ,,
업비트 코인 사야 복구 한다더니 진짜네 !!,,ㅇㅇ  - dc official App
리플 무슨 호재 뜬거임?,,나도 알려줄사람
질리카~여기까지,,ㅋㅋ2
질리카 진짜 변경이냐,,ㅋㅋㅋㅋ 무빙 보소 - dc official App
무브먼트 똥싸고 있네,,미친새끼 그냥 뒈져!!- dc official App
빗섬보소 개시발 봇장난만하네 안헌다 니낸,,ㅇ
xrp 출발~~~~~~~~알,,씨발 섹스 이거지  - dc official App
지금 유일한 호재는 이거임,,아직도 정신 못차렸네?..
질리카 1년전에 200원가는거 봤지?,,별명이 질장군이였다 내일 2000퍼 쏜다
무브가 대장갈거같노?;;;; 내질리카 어디가노인마!!,,질리카탸..
질리카 내일도~펌핑나오겠네,,23
질리카는설거지,,ㅋㅋㅋㅋㅋ
질리카ᆢ,,공지 변경될라나??  내일이 아니라 오늘로??ㅎㅎ
질리카 10원 간다,,내일 입출금 중지다 뭔말인지 알지?
지금이야 질리카가 오르겟지 지케이 어제 900% 다반납하고 지금 - 다,,320원이 30원대 하루만에 10토막남 ㅋ
어차피 질리카는 얼마못가속지마라 ㅋㅋ,,ㅋ
이런 놈도 있는데,,열심히 살아라- dc official App
구조대가 없어! 얼어듸진나바!,,ㅠㅠ- dc official App
5%수익 홀딩 입니다,,사기꾼들 링크 클릭하지마세요 모든 알람전달은 기존분들한테만 갑니다  - dc official App
질리카 내일 입출금 중단인데 지케이처럼 오르나?,,가나?
무브 씹새끼 또 지랄한다,1,개호로새끼안속아 버러지새끼야- dc official App
질리카 오르다말것지 안탄다 ㅋ,,ㅅㄱ
30퍼 반등하고 최근 저점 보다 -20퍼  더 빼것지~,,2월달 숩다수워~
보통 버거형들 몇시부터 코인사줌??,,약속의 12시??
리플은 지금 초특가할인아님?,,3000원이상은 한번씩 쏘는앤데
